Gen	theta_1M	theta_2T	theta_3N	theta_4R	theta_5S	theta_6X	theta_7Y	tau_4R	tau_5S	tau_6X	tau_7Y	phi_X	phi_Y	lnL
4785	0.001981	0.002935	0.016470	0.005339	0.004977	0.012586	0.006436	0.004657	0.002691	0.000743	0.000743	0.321034	0.064145	-156180.083
4790	0.002017	0.002989	0.016368	0.004783	0.006656	0.011023	0.006554	0.004743	0.002483	0.000757	0.000757	0.309839	0.084010	-156162.026
4795	0.002017	0.002989	0.016494	0.005204	0.006942	0.011365	0.005063	0.004714	0.002412	0.000757	0.000757	0.306094	0.083914	-156187.757
4800	0.001953	0.002340	0.017674	0.005093	0.006650	0.011340	0.006080	0.004537	0.002525	0.000732	0.000732	0.306094	0.083914	-156130.175
4805	0.001991	0.002387	0.017648	0.005310	0.005774	0.013016	0.006354	0.004585	0.002683	0.000747	0.000747	0.335121	0.083914	-156173.550
4810	0.001991	0.002387	0.015050	0.005337	0.005014	0.012740	0.006386	0.004648	0.002809	0.000745	0.000745	0.326098	0.083914	-156102.142
4815	0.001991	0.002387	0.014930	0.005644	0.004798	0.010837	0.006423	0.004706	0.003028	0.000736	0.000736	0.309450	0.084079	-156136.430
4820	0.001915	0.002295	0.012829	0.005427	0.005891	0.010321	0.007746	0.004526	0.002583	0.000661	0.000661	0.312937	0.146556	-156133.606
4825	0.001993	0.002389	0.014267	0.005785	0.006865	0.009204	0.007420	0.004660	0.002696	0.000742	0.000742	0.282420	0.146556	-156167.055
4830	0.001947	0.002763	0.016147	0.005282	0.006560	0.011332	0.006484	0.004541	0.002602	0.000817	0.000817	0.350585	0.110467	-156132.263
4835	0.001970	0.002796	0.016595	0.005493	0.006949	0.010307	0.007014	0.004541	0.002503	0.000826	0.000826	0.404526	0.110467	-156180.630
4840	0.001970	0.002402	0.015855	0.005286	0.006589	0.009061	0.005537	0.004620	0.002645	0.000826	0.000826	0.359969	0.135151	-156189.920
4845	0.001935	0.001895	0.015695	0.005193	0.004966	0.011847	0.006560	0.004539	0.002787	0.000746	0.000746	0.397342	0.186601	-156150.896
4850	0.001567	0.002718	0.014204	0.005203	0.005247	0.010582	0.007614	0.004747	0.003126	0.000722	0.000722	0.413580	0.186601	-156146.945
4855	0.001533	0.002105	0.014540	0.005170	0.005421	0.011203	0.007496	0.004616	0.002935	0.000707	0.000707	0.422717	0.136796	-156113.808
4860	0.001581	0.002171	0.015102	0.005332	0.005946	0.008762	0.006448	0.004761	0.002888	0.000695	0.000695	0.396478	0.151550	-156200.327
4865	0.001601	0.002170	0.014475	0.005177	0.005141	0.009343	0.007048	0.004760	0.003164	0.000729	0.000729	0.396478	0.153934	-156134.277
4870	0.001534	0.002243	0.013487	0.004792	0.004982	0.007647	0.007700	0.004618	0.003064	0.000682	0.000682	0.430879	0.153934	-156124.499
4875	0.001557	0.002278	0.013729	0.004786	0.005161	0.009826	0.007082	0.004716	0.002941	0.000705	0.000705	0.383854	0.133724	-156155.053
4880	0.001553	0.002272	0.013393	0.004915	0.005073	0.010697	0.006053	0.004779	0.002967	0.000728	0.000728	0.383854	0.124167	-156148.684
4885	0.001614	0.002361	0.013930	0.004699	0.004803	0.011948	0.006552	0.004912	0.003041	0.000667	0.000667	0.433456	0.121125	-156168.313
4890	0.001671	0.002445	0.013791	0.005264	0.005551	0.013835	0.007395	0.005086	0.003155	0.000691	0.000691	0.454191	0.103540	-156155.264
4895	0.001571	0.002095	0.015059	0.004948	0.004955	0.011570	0.006951	0.004781	0.002844	0.000649	0.000649	0.412190	0.149814	-156178.697
4900	0.001571	0.002095	0.016709	0.005372	0.004734	0.013600	0.006683	0.004781	0.002892	0.000649	0.000649	0.379016	0.126515	-156163.172
4905	0.001483	0.002463	0.016986	0.005176	0.004277	0.014909	0.005349	0.004489	0.002828	0.000612	0.000612	0.379016	0.142778	-156111.441
4910	0.001515	0.002515	0.014919	0.004792	0.004406	0.014442	0.006373	0.004642	0.002810	0.000625	0.000625	0.358195	0.159195	-156166.583
4915	0.001578	0.002915	0.015931	0.004669	0.006024	0.015435	0.006639	0.004856	0.002698	0.000680	0.000680	0.315731	0.183105	-156197.922
4920	0.001615	0.002985	0.014870	0.004767	0.006235	0.016653	0.006611	0.004978	0.002741	0.000657	0.000657	0.278757	0.205731	-156136.295
4925	0.001589	0.002935	0.012895	0.004559	0.007154	0.013361	0.006186	0.004960	0.002694	0.000714	0.000714	0.227620	0.184892	-156179.800
4930	0.001605	0.002709	0.014128	0.004604	0.007135	0.015288	0.006815	0.005009	0.002682	0.000722	0.000722	0.269779	0.160967	-156185.525
4935	0.001498	0.002764	0.012311	0.004718	0.006844	0.014097	0.006112	0.004673	0.002456	0.000674	0.000674	0.250726	0.160967	-156161.144
4940	0.001560	0.002494	0.011795	0.004591	0.005701	0.014127	0.005810	0.004864	0.002775	0.000806	0.000806	0.213210	0.178978	-156214.344
4945	0.001560	0.002938	0.013921	0.004481	0.006227	0.014080	0.005295	0.004916	0.002803	0.000701	0.000701	0.155956	0.114862	-156185.749
4950	0.001560	0.002938	0.013137	0.004616	0.005174	0.015588	0.005468	0.004854	0.002941	0.000621	0.000621	0.155956	0.156034	-156145.748
4955	0.001481	0.002790	0.012452	0.004815	0.004735	0.015965	0.005332	0.004683	0.002875	0.000559	0.000559	0.155956	0.156034	-156185.684
4960	0.001581	0.002511	0.014289	0.005236	0.004866	0.016011	0.004322	0.004959	0.002948	0.000597	0.000597	0.155956	0.156034	-156208.256
